"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2021","14.1998","14.1996","14.2499","14.0969","","0.14%"
"08/09/2021","14.1806","14.3110","14.3671","14.1611","","-0.85%"
"07/09/2021","14.3022","14.2470","14.3586","14.2241","","0.55%"
"06/09/2021","14.2245","14.3013","14.3717","14.2263","","-0.60%"
"03/09/2021","14.3098","14.4558","14.4905","14.2481","","-0.98%"
"02/09/2021","14.4516","14.4167","14.4976","14.3117","","0.30%"
"01/09/2021","14.4083","14.5166","14.5477","14.3619","","-0.71%"
"31/08/2021","14.5112","14.6396","14.6933","14.4463","","-1.03%"
"30/08/2021","14.6622","14.7432","14.7488","14.5915","","-0.37%"
"27/08/2021","14.7163","14.8985","14.9559","14.6877","","-1.37%"
"26/08/2021","14.9214","14.9556","15.0122","14.8776","","-0.19%"
"25/08/2021","14.9494","15.0104","15.0591","14.9011","","-0.35%"
"24/08/2021","15.0016","15.1553","15.1877","14.9763","","-0.76%"
"23/08/2021","15.1167","15.3015","15.3394","15.1082","","-1.16%"
"20/08/2021","15.2943","15.2166","15.3964","15.1536","","0.61%"
"19/08/2021","15.2013","14.9254","15.2738","14.9005","","1.76%"
"18/08/2021","14.9385","14.9086","15.0027","14.8370","","0.30%"
"17/08/2021","14.8933","14.8271","14.9934","14.7842","","0.41%"
"16/08/2021","14.8318","14.7291","14.8636","14.6875","","0.75%"
"13/08/2021","14.7207","14.7721","14.8788","14.6851","","-0.39%"
"12/08/2021","14.7780","14.6637","14.8095","14.6307","","0.87%"
"11/08/2021","14.6511","14.8140","14.9074","14.6152","","-0.95%"
"10/08/2021","14.7916","14.7503","14.8576","14.7303","","0.09%"
"09/08/2021","14.7783","14.5898","14.7966","14.5743","","1.27%"
"06/08/2021","14.5927","14.5091","14.7033","14.4471","","0.62%"
"05/08/2021","14.5029","14.3650","14.7236","14.3323","","0.96%"
"04/08/2021","14.3652","14.3200","14.4184","14.2223","","0.39%"
"03/08/2021","14.3088","14.4725","14.4744","14.2942","","-1.01%"
"02/08/2021","14.4546","14.5604","14.6551","14.3724","","-0.74%"
"30/07/2021","14.5622","14.5571","14.6665","14.5219","","0.09%"
"29/07/2021","14.5494","14.7820","14.7822","14.5282","","-1.52%"
"28/07/2021","14.7745","14.8126","14.8936","14.7095","","-0.03%"
"27/07/2021","14.7791","14.7983","14.9581","14.7604","","-0.19%"
"26/07/2021","14.8069","14.7875","14.9989","14.7636","","-0.24%"
"23/07/2021","14.8425","14.6983","14.8667","14.6758","","1.09%"
"22/07/2021","14.6830","14.6033","14.7601","14.5092","","0.60%"
"21/07/2021","14.5958","14.5959","14.7398","14.5366","","-0.03%"
"20/07/2021","14.6004","14.5708","14.6804","14.5040","","0.24%"
"19/07/2021","14.5648","14.3637","14.6069","14.3637","","1.24%"
"16/07/2021","14.3858","14.5721","14.5860","14.3349","","-1.18%"
"15/07/2021","14.5570","14.5350","14.6223","14.4432","","0.34%"
"14/07/2021","14.5071","14.7328","14.7917","14.4427","","-1.50%"
"13/07/2021","14.7279","14.4104","14.7673","14.3804","","2.24%"
"12/07/2021","14.4058","14.1960","14.5062","14.1960","","1.63%"
"09/07/2021","14.1746","14.3391","14.3578","14.1619","","-1.10%"
"08/07/2021","14.3317","14.3179","14.4435","14.2853","","0.19%"
"07/07/2021","14.3046","14.3816","14.4161","14.2487","","-0.52%"
